-2.94	0
-2.82	0
-2.7	0
-2.58	0
-2.46	0
-2.34	0
-2.22	0
-2.1	0
-1.98	0.000333333
-1.86	0.000706667
-1.74	0.000626667
-1.62	0.00133333
-1.5	0.00133333
-1.38	0.00104
-1.26	0.00166667
-1.14	0.00162667
-1.02	0.00133333
-0.9	0.00170667
-0.78	0.00196
-0.66	0.00166667
-0.54	0.002
-0.42	0.00141333
-0.3	0.00225333
-0.18	0.002
-0.06	0.002
0.06	0.00196
0.18	0.00166667
0.3	0.00170667
0.42	0.002
0.54	0.002
0.66	0.00196
0.78	0.00170667
0.9	0.00196
1.02	0.00162667
1.14	0.00141333
1.26	0.00133333
1.38	0.00162667
1.5	0.00104
1.62	0.001
1.74	0.00096
1.86	0.000666667
1.98	0.000373333
2.1	0
2.22	0
2.34	0
2.46	0
2.58	0
2.7	0
2.82	0
2.94	0
